fecha,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin
2010-12-26,1.9,0.0,-4.7,8.5,11.0,0.8,5.3,8.8,961.9,959.4
2010-12-27,1.2,0.0,-5.4,7.7,12.0,1.4,4.7,7.3,961.6,959.4
2010-12-28,4.7,4.2,-0.1,9.5,10.0,1.9,5.0,3.5,960.9,957.6
2010-12-29,7.8,0.0,2.3,13.3,11.0,3.3,7.8,7.2,958.8,953.3
2010-12-30,7.4,5.9,4.5,10.2,10.0,5.0,11.1,0.0,955.7,951.9
2010-12-31,9.4,0.4,6.6,12.3,22.0,1.4,5.8,0.2,958.3,954.3
2011-01-01,8.5,4.2,6.0,11.0,10.0,1.7,3.6,1.8,960.8,958.0
2011-01-02,9.6,0.0,5.6,13.5,34.0,3.3,8.9,4.1,960.0,958.0
2011-01-03,6.2,0.0,2.0,10.5,27.0,1.4,5.6,3.9,960.7,958.8
2011-01-04,7.0,0.9,4.4,9.5,10.0,0.3,3.9,0.1,960.2,956.7
2011-01-05,8.8,1.8,5.9,11.8,10.0,0.8,5.0,0.0,956.7,953.1
2011-01-06,14.1,4.2,10.1,18.1,25.0,5.6,14.2,4.3,954.2,952.4
2011-01-07,12.6,4.2,11.4,13.9,25.0,4.4,10.8,0.0,958.3,952.8
2011-01-08,12.0,7.1,9.5,14.4,21.0,1.4,9.7,0.1,958.3,954.4
2011-01-09,9.8,13.1,6.9,12.6,23.0,1.7,8.6,0.9,960.0,955.3
2011-01-10,6.2,0.7,3.2,9.3,27.0,2.8,10.6,3.9,963.8,960.0
2011-01-11,11.2,4.2,6.9,15.6,28.0,3.3,10.0,4.8,966.9,961.6
2011-01-12,11.4,0.0,5.9,16.8,31.0,1.1,4.2,7.8,968.9,966.5
2011-01-13,7.8,0.1,3.5,12.1,12.0,1.1,3.9,2.8,967.9,962.6
2011-01-14,7.2,4.2,2.1,12.2,12.0,1.7,3.9,3.3,966.0,962.4
2011-01-15,7.4,4.2,1.2,13.5,10.0,1.4,4.7,4.6,968.4,965.6
2011-01-16,7.7,4.2,0.4,15.0,25.0,0.6,3.6,7.4,968.1,965.8
2011-01-17,6.6,0.0,4.8,8.4,11.0,1.4,5.0,0.0,970.2,967.9
2011-01-18,5.6,0.0,2.7,8.6,8.0,2.2,5.3,0.0,968.1,963.3
2011-01-19,6.6,0.0,1.8,11.4,9.0,3.9,9.2,0.7,963.4,960.7
2011-01-20,6.5,0.0,0.6,12.4,10.0,1.1,6.7,3.7,962.3,960.0
2011-01-21,3.0,0.0,-1.8,7.7,7.0,6.9,14.7,9.3,964.8,962.1
2011-01-22,1.8,0.0,-4.8,8.3,9.0,4.2,11.4,8.8,963.3,957.1
2011-01-23,0.8,0.0,-5.0,6.7,11.0,3.9,10.0,9.4,958.9,956.1
2011-01-24,2.4,0.0,-4.4,9.2,8.0,2.8,10.3,9.6,959.6,956.0
2011-01-25,2.6,0.0,-3.8,9.0,12.0,1.9,6.7,8.1,959.2,954.5
2011-01-26,2.6,0.0,-1.9,7.1,10.0,0.3,5.0,1.9,954.6,940.9
2011-01-27,4.5,3.1,-0.5,9.5,11.0,2.2,7.5,0.1,943.4,939.1
2011-01-28,7.9,2.7,5.1,10.7,25.0,2.5,10.8,3.8,947.7,942.4
2011-01-29,5.6,0.0,2.4,8.8,32.0,2.5,8.9,2.9,951.5,947.2
2011-01-30,4.2,2.8,0.5,7.9,33.0,1.9,7.2,1.9,954.5,950.5
2011-01-31,3.7,4.2,-0.8,8.2,1.0,2.8,10.0,6.3,962.2,954.5
2011-02-01,4.1,0.0,-1.6,9.8,34.0,2.8,9.7,9.2,966.4,962.2
2011-02-02,5.2,0.0,-2.0,12.4,36.0,2.5,8.6,9.4,968.3,965.8
2011-02-03,6.6,0.0,-1.4,14.5,35.0,1.1,6.7,9.1,971.7,967.6
2011-02-04,8.2,0.0,-0.8,17.1,31.0,0.8,4.7,9.5,974.4,971.1
2011-02-05,9.0,0.0,-0.6,18.5,11.0,1.4,4.2,9.5,973.4,970.1
2011-02-06,9.6,0.0,0.2,18.9,12.0,0.8,4.2,9.7,970.7,966.5
2011-02-07,9.2,0.0,0.1,18.4,12.0,0.8,4.7,9.9,966.9,962.8
2011-02-08,8.1,0.0,-1.2,17.4,29.0,1.7,4.4,9.6,963.3,959.5
2011-02-09,7.8,0.0,-0.4,15.9,36.0,1.4,4.7,9.2,963.1,960.2
2011-02-10,8.4,0.0,-0.7,17.4,12.0,1.9,5.3,9.0,964.4,960.5
2011-02-11,8.0,0.0,-0.1,16.2,30.0,0.8,5.6,7.0,961.7,958.6
2011-02-12,8.1,0.0,-0.3,16.5,29.0,3.6,10.0,9.2,962.0,959.1
2011-02-13,9.7,3.1,5.0,14.4,27.0,5.6,13.1,1.9,959.1,949.4
2011-02-14,5.6,2.5,1.8,9.5,28.0,4.2,15.0,5.9,954.9,948.2
2011-02-15,7.3,2.6,4.1,10.5,27.0,3.3,13.1,0.4,948.2,941.5
2011-02-16,6.7,5.4,2.9,10.5,26.0,4.7,13.9,2.4,944.7,936.1
2011-02-17,8.2,0.0,4.3,12.0,25.0,9.7,16.9,9.3,952.5,935.7
2011-02-18,8.2,0.3,3.1,13.2,31.0,3.9,9.7,6.9,958.1,952.5
2011-02-19,10.2,10.2,7.3,13.2,28.0,3.1,7.5,0.1,957.8,955.2
2011-02-20,11.0,1.9,7.2,14.8,29.0,4.4,12.5,6.4,961.5,955.6
2011-02-21,10.7,0.0,5.9,15.5,28.0,5.6,15.0,5.4,964.6,961.0
2011-02-22,13.6,0.0,10.5,16.7,35.0,5.8,15.3,6.5,961.5,958.7
2011-02-23,13.3,0.0,6.4,20.2,33.0,1.1,11.4,10.0,964.5,960.8
2011-02-24,12.6,0.0,4.5,20.6,13.0,1.9,5.3,10.3,966.7,964.1
2011-02-25,14.0,0.0,5.4,22.5,32.0,1.9,4.2,10.1,966.8,964.0
2011-02-26,14.4,0.0,6.3,22.4,30.0,1.9,7.5,10.0,965.2,961.0
2011-02-27,9.4,0.0,3.9,15.0,35.0,4.2,13.6,9.1,965.3,961.1
2011-02-28,7.2,4.2,1.7,12.6,1.0,3.9,16.1,8.3,964.9,960.3
2011-03-01,5.2,0.0,-1.1,11.4,2.0,3.9,9.4,7.2,963.5,960.5
2011-03-02,5.8,0.0,0.8,10.8,36.0,2.8,7.8,2.0,962.3,959.4
2011-03-03,4.7,0.2,-0.2,9.6,3.0,3.3,8.3,1.9,960.1,956.3
2011-03-04,5.4,1.5,0.5,10.2,15.0,2.2,10.3,1.4,957.5,954.1
2011-03-05,8.8,0.0,4.3,13.2,9.0,4.7,9.7,3.7,959.0,956.4
2011-03-06,8.5,0.0,1.6,15.4,8.0,3.3,8.3,8.4,958.8,955.8
2011-03-07,11.7,0.0,4.9,18.5,11.0,4.2,15.6,9.4,958.8,954.9
2011-03-08,9.8,0.0,7.0,12.5,12.0,8.1,16.7,0.3,959.5,956.3
2011-03-09,10.0,0.1,7.8,12.1,13.0,6.1,13.6,1.1,962.2,958.2
2011-03-10,10.2,0.5,3.0,17.5,14.0,3.9,10.8,8.8,962.5,958.7
2011-03-11,8.4,12.4,6.8,10.0,12.0,6.1,13.9,0.1,959.1,946.7
2011-03-12,10.9,1.2,6.8,15.0,27.0,2.2,7.8,3.5,946.7,941.6
2011-03-13,11.0,2.1,6.7,15.4,24.0,2.2,13.1,1.8,945.6,943.0
2011-03-14,11.0,8.0,7.6,14.4,16.0,5.6,14.7,0.3,944.5,939.3
2011-03-15,9.4,0.0,6.0,12.9,30.0,6.1,13.1,4.7,949.5,941.6
2011-03-16,9.4,0.0,5.1,13.8,28.0,4.2,11.4,1.2,953.9,948.5
2011-03-17,12.8,0.0,6.7,18.8,34.0,4.2,10.3,8.3,963.6,953.9
2011-03-18,12.6,0.0,4.2,21.1,30.0,1.9,7.2,10.8,965.8,963.3
2011-03-19,14.4,0.0,6.5,22.2,12.0,1.4,12.5,10.7,966.3,962.2
2011-03-20,14.0,0.0,6.2,21.7,13.0,2.2,11.7,10.7,963.1,960.4
2011-03-21,12.0,0.0,5.4,18.6,12.0,3.6,12.5,9.8,963.3,959.3
2011-03-22,10.4,8.0,5.9,15.0,11.0,6.9,16.7,8.1,965.2,962.2
2011-03-23,7.9,4.0,4.2,11.6,10.0,4.2,16.9,0.6,965.0,960.7
